"csv_path","inferred_pipeline_step","included_in_word","reason_if_excluded","n_rows","n_columns","column_names","notes"
"04_descriptives/demographics/vi_tri.csv","Thống kê mô tả và hồ sơ mẫu","yes","",5,4,"Variable | Category | N | Pct","encoding= UTF-8"
"04_descriptives/descriptive_stats.csv","Thống kê mô tả và hồ sơ mẫu","yes","",58,8,"Variable | N | Mean | SD | Min | Max | Skewness | Kurtosis","encoding= UTF-8"
"04_descriptives/sample_demographics.csv","Thống kê mô tả và hồ sơ mẫu","yes","",20,4,"Variable | Category | N | Pct","encoding= UTF-8"
"05_measurement/formative/indicator_decisions.csv","Đo lường tạo thành","yes","",38,7,"Construct | Indicator | Weight | Loading | Weight_Significant | Decision | Reason","encoding= UTF-8"
"05_measurement/formative/nomological_validity.csv","Đo lường tạo thành","yes","",6,3,"Formative_Construct | Related_Constructs | Note","encoding= UTF-8"
"05_measurement/formative/outer_loadings_formative.csv","Đo lường tạo thành","yes","",38,3,"Construct | Indicator | Loading","encoding= UTF-8"
"05_measurement/formative/outer_vif.csv","Đo lường tạo thành","yes","",38,4,"Construct | Indicator | Outer_VIF | Status","encoding= UTF-8"
"05_measurement/formative/outer_weights_bootstrap.csv","Đo lường tạo thành","yes","",38,11,"Construct | Indicator | Weight | T_Stat | P_Value | CI_Low | CI_High | Sig_Primary | T_Sig | Mismatch | Significant","encoding= UTF-8"
"05_measurement/reflective/htmt_ci_bootstrap.csv","Đo lường phản xạ","yes","",55,8," | Original Est. | Bootstrap Mean | Bootstrap SD | T Stat. | 2.5% CI | 97.5% CI | Bootstrap P Val","encoding= UTF-8 | empty_column_name_detected"
"05_measurement/reflective/htmt_matrix.csv","Đo lường phản xạ","yes","",5,6," | PS | TP | IT | CC | AJ","encoding= UTF-8 | empty_column_name_detected"
"05_measurement/reflective/htmt_matrix_full.csv","Đo lường phản xạ","yes","",11,12," | COM | PS | MO | TP | IT | CC | CG | AJ | TC | ETH | AQ","encoding= UTF-8 | empty_column_name_detected"
"05_measurement/reflective/indicator_decisions.csv","Đo lường phản xạ","yes","",20,5,"Construct | Indicator | Loading | Decision | Reason","encoding= UTF-8"
"05_measurement/reflective/outer_loadings.csv","Đo lường phản xạ","yes","",20,3,"Construct | Indicator | Loading","encoding= UTF-8"
"05_measurement/reflective/reliability_table.csv","Đo lường phản xạ","yes","",5,5,"Construct | Cronbachs_Alpha | rho_A | CR | AVE","encoding= UTF-8"
"06_structural/f_squared.csv","Mô hình cấu trúc","yes","",10,4,"IV | DV | f_squared | Effect_Size","encoding= UTF-8"
"06_structural/inner_vif.csv","Mô hình cấu trúc","yes","",10,3,"DV | IV | VIF","encoding= UTF-8"
"06_structural/path_coefficients_bootstrap.csv","Mô hình cấu trúc","yes","",10,14,"Beta | Boot_Mean | Boot_SE | T_Stat | CI_Low | CI_High | Path | P_Value | Sig_Primary | T_Sig | P_Sig | Mismatch | Notes | Significant","encoding= UTF-8"
"06_structural/r_squared.csv","Mô hình cấu trúc","yes","",2,3,"Construct | R_squared | Adj_R_squared","encoding= UTF-8"
"07_predict/plspredict_results.csv","Đánh giá dự báo","yes","",9,6,"Indicator | Q2_predict | PLS_RMSE | PLS_MAE | LM_RMSE | LM_MAE","encoding= UTF-8"
"07_predict/plspredict_vs_lm.csv","Đánh giá dự báo","yes","",9,3,"Indicator | RMSE_PLS_better | MAE_PLS_better","encoding= UTF-8"
"07_predict/prediction_classification.csv","Đánh giá dự báo","yes","",1,5,"N_indicators | N_RMSE_PLS_better | N_MAE_PLS_better | Pct_better | Prediction_Level","encoding= UTF-8"
"08_complex/mediation/mediation_classification.csv","Kiểm định trung gian","yes","",7,10,"X | M | Y | Direct_c | Direct_Sig | Indirect_ab | Indirect_Sig | Total | VAF | Classification","encoding= UTF-8"
"08_complex/mediation/specific_indirect_effects.csv","Kiểm định trung gian","yes","",7,33,"X | M | Y | a | a_CI_Low | a_CI_High | b | b_CI_Low | b_CI_High | Direct_c | Direct_T | Direct_P | Direct_CI_Low | Direct_CI_High | Direct_Sig | Direct_T_Sig | Direct_P_Sig | Direct_Mismatch | Indirect_ab | Indirect_T | Indirect_P | Indirect_CI_Low | Indirect_CI_High | Indirect_Sig | Indirect_T_Sig | Indirect_P_Sig | Indirect_Mismatch | Total | Total_CI_Low | Total_CI_High | VAF | Classification | Notes","encoding= UTF-8"
"08_complex/moderation/interaction_coefficients.csv","Kiểm định điều tiết","yes","",2,25,"Interaction | IV | Moderator | DV | Method | IV_Direct_Beta | IV_Direct_CI_Low | IV_Direct_CI_High | Mod_Direct_Beta | Mod_Direct_CI_Low | Mod_Direct_CI_High | Interaction_Beta | Interaction_T | Interaction_P | Interaction_CI_Low | Interaction_CI_High | CI_Level | CI_Method | Sig_Primary | T_Sig | P_Sig | CI_Excludes_Zero | Mismatch | Significant | Notes","encoding= UTF-8"
"08_complex/moderation/simple_slopes_ETH.csv","Kiểm định điều tiết","yes","",3,4,"Moderator | Moderator_Level | W_Value | Simple_Slope","encoding= UTF-8"
"08_complex/moderation/simple_slopes_TC.csv","Kiểm định điều tiết","yes","",3,4,"Moderator | Moderator_Level | W_Value | Simple_Slope","encoding= UTF-8"
"09_robust/controlled_model/control_path_coefficients.csv","Kiểm định độ bền và nhạy cảm","yes","",10,7,"Control | DV | Beta | T_Stat | CI_Low | CI_High | Significant","encoding= UTF-8"
"09_robust/controlled_model/indirect_effects_A_vs_B.csv","Kiểm định độ bền và nhạy cảm","yes","",7,12,"Path | Indirect_A | CI_Low_A | CI_High_A | Sig_A | Indirect_B | CI_Low_B | CI_High_B | Sig_B | Sign_Stable | Sig_Stable | Robust","encoding= UTF-8"
"09_robust/controlled_model/path_comparison_A_vs_B.csv","Kiểm định độ bền và nhạy cảm","yes","",10,15,"Path | Beta_A | Beta_B | Delta_Beta | T_A | T_B | CI_Low_A | CI_High_A | CI_Low_B | CI_High_B | Sig_A | Sig_B | Sign_Stable | Sig_Stable | Robust","encoding= UTF-8"
"09_robust/controlled_model/r2_comparison_A_vs_B.csv","Kiểm định độ bền và nhạy cảm","yes","",2,4,"DV | R2_A | R2_B | Delta_R2","encoding= UTF-8"
"09_robust/endogeneity/copula_decisions.csv","Kiểm định độ bền và nhạy cảm","yes","",3,4,"Equation | Suspected | Decision | Reason","encoding= UTF-8"
"09_robust/endogeneity/copula_nonnormality.csv","Kiểm định độ bền và nhạy cảm","yes","",3,10,"Variable | N | Skewness | Kurtosis_Excess | SW_W | SW_p | JB_Stat | JB_p | Practical_NonNormal | Copula_Feasible","encoding= UTF-8"
"09_robust/endogeneity/copula_results.csv","Kiểm định độ bền và nhạy cảm","yes","",2,31,"Equation | Suspected | Copula_Term | Gamma_Est | Gamma_Boot_SE | Gamma_T_Stat | Gamma_P_Value | Gamma_CI_Low | Gamma_CI_High | Gamma_Sig | Gamma_T_Sig | Gamma_P_Sig | Gamma_Mismatch | Beta_Corrected | Beta_Corr_SE | Beta_Corr_T | Beta_Corr_P | Beta_Corr_CI_Low | Beta_Corr_CI_High | Beta_Corr_Sig | Beta_Original | Beta_Orig_CI_Low | Beta_Orig_CI_High | Beta_Shift | VIF_COP | VIF_OK | Cor_X_COP | Decision | Decision_Short | Reason | Mismatch_Note","encoding= UTF-8"
"09_robust/endogeneity/copula_terms.csv","Kiểm định độ bền và nhạy cảm","yes","",3,4,"Variable | Copula_Term | Cor_X_COP | Cor_OK","encoding= UTF-8"
"09_robust/endogeneity/copula_vif.csv","Kiểm định độ bền và nhạy cảm","yes","",26,6,"Equation | Suspected | Variable | VIF | Flag_3_3 | Flag_5_0","encoding= UTF-8"
"09_robust/endogeneity/distribution_check.csv","Kiểm định độ bền và nhạy cảm","yes","",9,4,"Variable | Shapiro_W | Shapiro_p | Non_Normal","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/clustering_k_selection.csv","Kiểm định độ bền và nhạy cảm","yes","",4,3,"k | WSS | Silhouette_Mean","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/groups.csv","Kiểm định độ bền và nhạy cảm","no","Bảng trung gian quá dài, ưu tiên ghi trong manifest",400,2,"observation | group","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/mga_results.csv","Kiểm định độ bền và nhạy cảm","yes","",10,10,"Pair | Path | Beta_G1 | Beta_G2 | Diff | p_perm | Diff_CI_lo | Diff_CI_hi | p_adjusted | Sig","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/micom_results.csv","Kiểm định độ bền và nhạy cảm","yes","",11,6,"Pair | Construct | c_original | ci_lower_5pct | p_value | decision","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/micom_step3_Group_1_vs_2.csv","Kiểm định độ bền và nhạy cảm","yes","",11,7,"Construct | Mean_Diff | Var_Diff | Mean_p | Var_p | Mean_Equal | Var_Equal","encoding= UTF-8"
"09_robust/nonlinear/f2_quadratic_effects.csv","Kiểm định độ bền và nhạy cảm","yes","",10,8,"Path | X | Y | R2_reduced | R2_full | Delta_R2 | f2 | f2_class","encoding= UTF-8"
"09_robust/nonlinear/nonlinear_quadratic_results.csv","Kiểm định độ bền và nhạy cảm","yes","",3,21,"Relation | X | Y | Beta_Linear_Base | Beta_Linear_QuadModel | CI_Linear_Lo | CI_Linear_Hi | Sig_Linear | P_Linear | Beta_Quadratic | CI_Quad_Lo | CI_Quad_Hi | Sig_Quadratic | P_Quadratic | VIF_Quadratic | Delta_Beta_Linear | R2_Linear | R2_Quadratic | Delta_R2 | R2_Base_PLS | Note","encoding= UTF-8"
"09_robust/sensitivity_data/com6_diagnostics.csv","Kiểm định độ bền và nhạy cảm","yes","",1,11,"Indicator | Mean | SD | Variance | Var_Ratio_vs_Siblings | Mode | Mode_Pct | Avg_Abs_Cor_Siblings | Avg_VIF_With | Avg_VIF_Without | VIF_Delta","encoding= UTF-8"
"09_robust/sensitivity_data/com6_sensitivity_paths.csv","Kiểm định độ bền và nhạy cảm","yes","",10,13,"Path | Beta_With_COM6 | Beta_Without_COM6 | CI_Lo_With | CI_Hi_With | CI_Lo_Without | CI_Hi_Without | Delta_Beta | Sig_With | Sig_Without | Sign_Stable | Sig_Stable | Robust","encoding= UTF-8"
"09_robust/sensitivity_data/com6_sensitivity_r2.csv","Kiểm định độ bền và nhạy cảm","yes","",2,4,"DV | R2_With | R2_Without | R2_Delta","encoding= UTF-8"
"09_robust/sensitivity_data/comparison_pre_post_screening.csv","Kiểm định độ bền và nhạy cảm","yes","",10,9,"Path | Beta_Pre | Beta_Post | T_Pre | T_Post | Sig_Pre | Sig_Post | Sign_Stable | Sig_Stable","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/f_squared.csv","Tổng hợp nhạy cảm COM6","yes","",10,4,"IV | DV | f_squared | Effect_Size","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/indicator_decisions.csv","Tổng hợp nhạy cảm COM6","yes","",38,7,"Construct | Indicator | Weight | Loading | Weight_Significant | Decision | Reason","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/path_coefficients_bootstrap.csv","Tổng hợp nhạy cảm COM6","yes","",10,14,"Beta | Boot_Mean | Boot_SE | T_Stat | CI_Low | CI_High | Path | P_Value | Sig_Primary | T_Sig | P_Sig | Mismatch | Notes | Significant","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/prediction_classification.csv","Tổng hợp nhạy cảm COM6","yes","",1,5,"N_indicators | N_RMSE_PLS_better | N_MAE_PLS_better | Pct_better | Prediction_Level","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/r_squared.csv","Tổng hợp nhạy cảm COM6","yes","",2,3,"Construct | R_squared | Adj_R_squared","encoding= UTF-8"
"10_report/com6_sensitivity/compare/f_squared_compare.csv","Tổng hợp nhạy cảm COM6","yes","",10,5,"IV | DV | f2_Baseline | f2_NoCOM6 | Delta_f2","encoding= UTF-8"
"10_report/com6_sensitivity/compare/formative_com_compare.csv","Tổng hợp nhạy cảm COM6","yes","",8,10,"Indicator | Decision_Baseline | Reason_Baseline | Weight_Baseline | Loading_Baseline | Decision_NoCOM6 | Reason_NoCOM6 | Weight_NoCOM6 | Loading_NoCOM6 | Decision_Changed","encoding= UTF-8"
"10_report/com6_sensitivity/compare/instrument_com_compare.csv","Tổng hợp nhạy cảm COM6","yes","",9,5,"Indicator | In_Baseline | In_NoCOM6 | Removed_In_NoCOM6 | Added_In_NoCOM6","encoding= UTF-8"
"10_report/com6_sensitivity/compare/path_coefficients_compare.csv","Tổng hợp nhạy cảm COM6","yes","",10,9,"Path | Beta_Baseline | P_Value_Baseline | Sig_Primary_Baseline | Beta_NoCOM6 | P_Value_NoCOM6 | Sig_Primary_NoCOM6 | Delta_Beta | Sig_Flip","encoding= UTF-8"
"10_report/com6_sensitivity/compare/prediction_compare.csv","Tổng hợp nhạy cảm COM6","yes","",4,3,"Metric | Baseline | No_COM6","encoding= UTF-8"
"10_report/com6_sensitivity/compare/r_squared_compare.csv","Tổng hợp nhạy cảm COM6","yes","",2,4,"Construct | R2_Baseline | R2_NoCOM6 | Delta_R2","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/f_squared.csv","Tổng hợp nhạy cảm COM6","yes","",10,4,"IV | DV | f_squared | Effect_Size","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/indicator_decisions.csv","Tổng hợp nhạy cảm COM6","yes","",38,7,"Construct | Indicator | Weight | Loading | Weight_Significant | Decision | Reason","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/path_coefficients_bootstrap.csv","Tổng hợp nhạy cảm COM6","yes","",10,14,"Beta | Boot_Mean | Boot_SE | T_Stat | CI_Low | CI_High | Path | P_Value | Sig_Primary | T_Sig | P_Sig | Mismatch | Notes | Significant","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/prediction_classification.csv","Tổng hợp nhạy cảm COM6","yes","",1,5,"N_indicators | N_RMSE_PLS_better | N_MAE_PLS_better | Pct_better | Prediction_Level","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/r_squared.csv","Tổng hợp nhạy cảm COM6","yes","",2,3,"Construct | R_squared | Adj_R_squared","encoding= UTF-8"
"10_report/main/package_versions.csv","Báo cáo tổng hợp","no","Tệp metadata phiên bản/ID, không phải bảng kết quả phân tích",6,2,"Package | Version","encoding= UTF-8"
"10_report/main_no_com6/package_versions.csv","Báo cáo tổng hợp","no","Tệp metadata phiên bản/ID, không phải bảng kết quả phân tích",6,2,"Package | Version","encoding= UTF-8"
"10_report/mediation_classification_saturated.csv","Báo cáo tổng hợp","yes","",7,33,"X | M | Y | a | a_CI_Low | a_CI_High | b | b_CI_Low | b_CI_High | Direct_c | Direct_T | Direct_P | Direct_CI_Low | Direct_CI_High | Direct_Sig | Direct_T_Sig | Direct_P_Sig | Direct_Mismatch | Indirect_ab | Indirect_T | Indirect_P | Indirect_CI_Low | Indirect_CI_High | Indirect_Sig | Indirect_T_Sig | Indirect_P_Sig | Indirect_Mismatch | Total | Total_CI_Low | Total_CI_High | VAF | Classification | Notes","encoding= UTF-8"
"10_report/pilot/package_versions.csv","Báo cáo tổng hợp","no","Tệp metadata phiên bản/ID, không phải bảng kết quả phân tích",6,2,"Package | Version","encoding= UTF-8"
"10_report/pilot/pilot_ids.csv","Báo cáo tổng hợp","no","Tệp metadata phiên bản/ID, không phải bảng kết quả phân tích",34,4,"Responder ID | Time | flag_duplicate | duplicate_group_id","encoding= UTF-8"
"appendix_csv_manifest.csv","Khác","yes","",83,8,"csv_path | inferred_pipeline_step | included_in_word | reason_if_excluded | n_rows | n_columns | column_names | notes","encoding= UTF-8"
